zpo	丶
ppw	忄 恭字底 ⺗ 𥨥字底字心 𠢯字旁字底字底 㣺 𱘭字底
ztu	欠
yxo	中 𘯉
c;o	目
xfu	彳
lqu	卩 㔾 报字边无又 节字底 卪 𭅲
ptw	艮 即字旁
bho	广 度字框
.hr	刀 黎右角
/aw	开 発字底
c.u	车 车旁
;hu	乛
xco	至
jyr	羊 差字头 美字头 南字心 鬲字心 ⺶
gyo	儿
vpu	耳
hlw	见
glu	生
ypo	聿 隶字框 争字底 妻字头 ⺺ 畫字头 盡字头无灬 肀 ⺻ 𢈏字心字头 𠔥字腰 𤔇字底之一
dhr	八 横两点
q;r	而
jso	上
sfo	殳
nar	几 风省 ⺇变
kqo	吕 吅 龠字腰
jzw	里
ngo	者
,cw	矢
jto	用 甬字底
mqr	方
zko	己 己旁
syo	且 具字头
pso	其
djw	去
kaw	合
gmr	厂 反字框
hkw	手 龵 拜字边 羊下 手变
zvu	尢 兀 丌 宺字底无口 𡋲字头字框
dzw	角
g;w	此
jbo	多
,aw	立 立无横
v;w	自
qbo	衣 衣省 旅下角 衣框 畏字底 衣省变
spo	夕
/qw	彐 聿三 录字头 𬺹
jzo	二
b;w	来
xdr	礻 衤
shu	舌 舍字底
x;u	隹
.bo	正
vgo	石
hqr	糸 幺 ⺯
bjw	马 马二
fkr	片 丬 北字旁 鼎字框 爿 淵字边无一 乍字底 非字旁 非字边
alr	廴
dxo	各
hxo	本
hgo	京
hdr	果
fqu	更
aao	钅
daw	乍
;ku	米 鬯字头无凵 𠂭 𧒫字边字腰 𲌥字底字旁字头
ajr	相
qqr	䒑 共字底 𢂇字头
jlr	弋 弋二
;/o	占
mtr	止 步字底 龰 延字心无撇
lpu	雨 雨头
jpw	弓 𢎜
;vw	直
vno	尸 眉字框 倉字腰 叚字旁无二 門字旁 民字框 飮下角 門字边
jmu	虫 贵字头 𬻬字底 𘯊 𠀐
fku	卜 卢字头
slr	主
flw	下 𣃟字头
/zw	示 ⺬ 𱍐
tau	关
hzr	士
ygu	尚 尚头 龸
,/r	万 成三
g;u	壬 𡈼
.lr	豕 乑 豕省 豸 𬺻 𬆫字旁字底 𧰧 𬺷
cqu	言
v.w	行
jpr	水 氺 益字头 永无点 犀字心头 鳏下角 乑无丿
qfu	元
bsw	音 𫭏字心
fsw	负字头 尔字头 久二 㞮字底
qpr	出
aco	巴
smr	业
pxu	高 享字头 亮字头 高头 𠅘字头字头 𠅘字头
cno	玉
kqr	古
t/w	祭 然左角 夜下角 癶 祭字头
s,w	分
kvr	交
.gw	走
tpu	先
mpr	亼 亽
fnr	内
nkr	戉 戊 臧字框
pao	户
yvw	那字旁
b.w	只
spr	载字框 耂
gpr	足 足旁
/ao	疒
zcr	后字框
bzu	母
sdu	四 罒 而字底
tyr	共
zxr	丂 与无横 耉字框无耂
v,w	定
qto	夫
jlr	发
hao	天
nto	㐄 年字底 叏字头 韋字头 𫝀 𠎖字边字头字边 𘲐
zbw	井 井变
kju	甬
qyw	皿
yqr	⺃
,jr	㠯 追字心 𮍌 目变
fjw	比 比旁
hqo	皮 皮二
s;w	亠
vjw	戶 戸 戼字边
acu	凵 丩 亥无亠无人 𠙴 𠂈
qlw	化
bcu	及
bpw	非
pfu	之
dku	夬
knr	匚 乐二 卬字旁 匸 牙二 年字底无竖 𠥓
cxo	娄
jkr	面
;qr	亥
hqu	廿 龷 寒字腰 舞字头无卧人
vlr	今
/vu	向字框 丙三 爲字框
.vu	歹 歺 歺头
lar	专
,mw	从 入入 仌
vau	首
qgw	丁 可字框
alo	七 东二 躖字边框 㡭左 七旁
.tr	包
ado	穴
yco	求
nsr	由
a,u	介
bdu	山 山一
vdo	长
dyw	爪 爫 乊 埓上角 ⺥ 𫜵 𱬴
x;u	电 龟字底 曳无丿 𠄲字底
zpr	咅
b/w	亲
afu	身 㐆
qlr	两
;go	与
zju	才
fjo	公
tqr	册 扁字心 冊 𠕁 𧧚字边
kco	居
qnr	无
;tr	旅字框
zlr	产
gnw	支
hqw	爱字头 𡋧字头
byr	句
hso	友
dvo	平
pzu	原
x;u	壳字头 卖字头 索字头 囊字头 彀左角 𠁕字头 𣪊字旁
x;r	少
pvw	川 横三点 荒字底 巛 巜 𘠸 三竖 巜巜 四竖 𰀋字心
lkw	戋
zzo	巳
l;r	斗
knr	早
lqw	五
smu	另
vcw	谷 谷字头
apr	酉
,,r	予
yxo	爻 网字心
q;u	束
dyr	景
gpw	㓁 𠕉字底 奐字腰 𡕫字头字底 𠨈字腰之一
clo	妾
gnr	未
vpu	禸 禺字底
dlr	太
.zo	修字旁 𣼝字中
t;o	氏
,,w	亡
z;r	入
.ho	莫
/gu	金 丧字头 釒 金字底
aau	亦 变字头
z/r	三
nnw	员
,lu	舟
..w	区
mqw	仑
c,w	气
.hw	凶 㐫
ypr	乃 凸无横
a;w	象
,bu	申
zco	北 邶字旁
vqu	贤字头 览字头
adw	肖
dpw	老
.du	虎 虍 虍无七
//w	九
zmw	已
;xr	臼 舆字头框 臼裂 ⺽ ⺽变 璺字头框
t;r	定字底 疋 延字心 疏字旁
qdu	执
lcr	㐬
fpo	食 飠 ⻞ 飮字旁 ⻟ 𩙿
ysw	干 无三 𘠨
/qr	龹 养字头 𠌉字底 𠉅字边字头 𭢐字边字头
.tw	习
csr	饣
dfr	荧字头
/qu	弗 姊字边 𠂔
bxr	候右角 叚右角
ksr	缶 卸字旁
dyr	免五
kfu	民
fyr	林
npo	壴
yto	风
mzo	圭
,mr	羽
ppr	双
vhu	甘 其字头 其字头无横
d,o	冉
.fu	仺字底 段字旁 印字旁 虐字底 黽左角 㒫字头 镸无厶 𰀂 𰀄
l;w	豆
g,r	亚
qqu	旡
;.r	毛
lnr	牙
.su	曾字头无丷 黑五
dfu	釆
..w	温字框
kfw	甫 甫变
aqw	卯 留字头 畱字头 𡋲字头 𦊿字底
s;o	尺
;jr	百
zgu	光
v.r	卅 带字头 丗 𠀍
gaw	韦
;du	刍
nvr	展字心 𠺂字边字底
hcu	革
c;r	麻
cvu	辛 辛旁
lmr	黑 黒
cfw	落字框
lfo	齐 斉
m,u	卑
tvw	鸟 鸟省
kbu	曲 典字头带横
.qo	辟
gco	半
kar	奂
qqw	微字框无一
/kr	千 刋字旁
qsu	鱼
;gu	巨
qgr	夭
t;u	春字头 𡗗 羮字底 𩤻字边字底 𘬑
far	寒字头
plr	君
tmw	父
kqr	彑 宐字底
yxr	凡
zjo	敫
cso	鬼 鬼无厶
kju	酋
fbu	龙
kcw	肉
xyu	龺
xbo	亏
fqw	血
tfr	臣 臦字旁
gju	曷
pqr	鬲
n.w	垂
;mr	氶
nlw	叚
ypw	屯 黽字心 龜字心无撇
,vr	骨 咼 冎 骨字头
qyr	瓦
nfr	⻑ 镸 長
jhw	兵
;fr	丸 凡变
cbu	辰
zvw	甲
t,w	六
,sr	卤 囱 囟
/vu	飞 飛字底
gnu	唐
psu	毋 毌 婁字头 𣫬
mpr	舛
j;u	耒
m.r	末
mgr	瓜
aho	矛
jgo	呙
,ao	乌
dfw	曰 冒字头 衰字腰
fmr	齿
,,o	夹
tdr	童
fxu	草
hdu	丅 丆
vqw	魚 衡字心 鱼省
fqu	車 惠字头 𫊙字底字边字头
/,r	屮 䶹 屮变
hpr	鼻
lsr	貝
vqw	舞字头 簔字底心 𣞣字头
vdr	芒
,hr	尹
vqu	麦
gpu	乡
yqr	敖
sju	鼠 巤字底 鼠字底
fpr	㡀
bko	門 鬥
fqu	赢字框
kgr	兔 兎字底无丶
cvw	丹
t/o	頁 𢧻字边字头
;fo	鹿 鹿旁 鹿字框
yfu	卵
jpo	黾
yyu	颐字旁 弬字边 𦣝 颐字旁变 𦣝变
a,w	見
.mr	馬 馬字框
mxu	韋
fzr	卯字旁 留上角
fao	僉 㑒
lnu	侖
vlu	邑
dau	龻 䜌
/sw	鳥 鳥省
bpo	風
mqo	亞 𬻞
.zw	龍字边
/go	㦮 彧字框
zyw	卌 帶字头
fbr	齊字腰
zsr	烏 烏省
zjr	亞无一 虛字底 亜无一 斲字旁
.jo	麥
kxu	齒字底 齒字底心
.dw	亾 兦
;to	丄
kpu	⺼ 䏓字旁
aqo	特殊折
