的	白勹丶
𧬐	言而而
𧬑	亻仌仌厂言
𧬒	言日罒方
𧬓	大{南字心}乛{举字底}言
𧬔	言甘大木
𧬕	言古辛
𧬖	言艹癶文
𧬗	言其木
𧬘	言門日
𧬙	言宀{同字心}田
𧬚	言由方阝
𧬛	言象
𧬜	言其斤
𧬝	言艹癶夊
𧬞	言{雨头}云
𧬟	言此日丿十
𧬠	言禾{全字头}氺
𧬡	言丿仌仌土
𧬢	言从从日
𧬣	{立无横}戈日言
𧬤	言童
𧬥	言者阝
𧬦	言{尔字头}{争字底}{尔字头}{争字底}
𧬧	言艹癶天
𧬨	言止戊一{步字底}
𧬩	言天非一
𧬪	言冖車辶
𧬫	言䒑{青字底}刂灬
𧬬	言业䒑未
𧬭	言一口㐄冂㐅丅
𧬮	言目目大
𧬯	言宀{寒字腰}八巳
𧬰	乡丶{即字旁}阝言
𧬱	言門可
𧬲	言尸二丨二出
𧬳	言罒大{南字心}
𧬴	言囗𠂭{青字底}
𧬵	言穴亠从十
𧬶	言乛彡乛彡{全字头}彡
𧬷	言虍豕
𧬸	言龹言
𧬹	言曲豆
𧬺	言艹{立无横}冖巾
𧬻	言土羊辶
𧬼	言耳口王
𧬽	言{风省}鳥
𧬾	言幺幺言
𧬿	言千仌仌凵
𧭀	言{竹头}另刂
𧭁	出从攵言
𧭂	言宀祭
𧭃	夫夫{尔字头}厂八言
𧭄	言巛⺽木
𧭅	言臣月壬
𧭆	言亼吅𠕁
𧭇	言白穴方
𧭈	言宀心皿丁
𧭉	言一八巾爻爻
𧭊	言{荧字头}一豕
𧭋	言尸辛辶
𧭌	言而大瓦
𧭍	言耳又乑
𧭎	言亻业{养字头}
𧭏	言士口冖至
𧭐	匕矢龴疋言
𧭑	言目目瓜
𧭒	⺽{特殊折}冂{同字心}言
𧭓	言火火冖火
𧭔	舟羽人言
𧭕	言爫丂{卧人}巾巾
𧭖	言⻀土我
𧭗	言臣{临右角}皿
𧭘	言立立日
𧭙	言{临字旁}丷冖一豕
𧭚	言言丷兄
𧭛	言言言
𧭜	言虍田心
𧭝	言艹祭
𧭞	言巛{巤字底}
𧭟	言尸{犀字心头}牛辶
𧭠	言宀臼勹灬
𧭡	言厂艹日{禺字底}
𧭢	言{尚头}貝
𧭣	言爫寸虎
𧭤	言日共氺
𧭥	言白幺幺木
𧭦	言{尔字头}{𠨈字腰之一}目攴
𧭧	言{度字框}灬辶
𧭨	仌亻仌厂工言
𧭩	言廿口人八土
𧭪	言艹一人{全字头}丨人{全字头}丨
𧭫	言{享字头}口⻀干
𧭬	言目目大{乔字底}
𧭭	一爿亻隹言
𧭮	言自穴方
𧭯	言亻仌仌{左字框}工
𧭰	言广龷由八
𧭱	言覀大巳辶
𧭲	言工黑
𧭳	可可可言
𧭴	言罒土口{衣省}
𧭵	言鬼未
𧭶	言戊𠮛糸
𧭷	言魚日
𧭸	言歺又非一
𧭹	止{步字底}頁言
𧭺	言{享字头}日⻀干
𧭻	言戊{同字心}言
𧭼	言亲見
𧭽	言艹此言
𧭾	言臼人貝
𧭿	罒刀刀言言
𧮀	罒从言言
𧮁	言艹夕{埓上角}{无三}又
𧮂	言先先日
𧮃	言廿口{北字旁}匕火
𧮄	言山隹{雋字底}
𧮅	言罒{同字心}{衣省}辶
𧮆	言貝貝女
𧮇	言艹日{禺字底}辶
𧮈	言{寒字头}足
𧮉	言艹亻仌仌亏
𧮊	言鬼言
𧮋	言山隹冂䒑丨
𧮌	龻包
𧮍	言門音
𧮎	言{寒字头}言
𧮏	言臼囟禸
𧮐	阝爫工彐心言
𧮑	言門日羽
𧮒	言匚矢殳酉
𧮓	言鬼隹
𧮔	言日出大米
𧮕	言門馬
𧮖	言先先共
𧮗	言言言心
𧮘	言冖車冖車
𧮙	业{南字心}臼殳言
𧮚	言艹日{禺字底}虫
𧮛	言㐫禸隹
𧮜	言吅厂爫古又
𧮝	氵止{步字底}頁言
𧮞	言目目隹又
𧮟	{美字头}言言言
𧮠	言麻禾日
𧮡	言穴士罒貝
𧮢	言田田田糸
𧮣	貝貝言言
𧮤	言臣{临右角}罒見
𧮥	吅口舌舌言
𧮦	言言言言
𧮧	言艹門束丷
𧮨	言亠吅己工爻{衣省}
𧮩	立{青字底}{龍字边}立{青字底}{龍字边}言
𧮪	讠占
𧮫	仌口
𧮬	谷乛十
𧮭	谷丸
𧮮	谷千
𧮯	{左字框}厶谷
𧮰	谷今
𧮱	谷分
𧮲	{卢字头}㓁人口
𧮳	谷甘
𧮴	谷古
𧮵	谷合
𧮶	谷{后字框}口
𧮷	谷乛凵䶹
𧮸	{卢字头}{皮二}一谷又
𧮹	谷由丂
𧮺	谷戈戈
𧮻	谷{周字框}土口
𧮼	㐫冂谷
𧮽	谷虎
𧮾	爫夫谷
𧮿	谷{全字头}{舍字底}
𧯀	谷艹{见二}大
𧯁	谷亻{候右角}矢
𧯂	谷{尔字头}厂矢
𧯃	谷戊{同字心}
𧯄	禾日谷
𧯅	谷禾日
𧯆	谷宀丰口
𧯇	谷立{龟字底}
𧯈	谷{步字底}日小
𧯉	宀谷谷
𧯊	谷少日小
𧯋	谷門牙
𧯌	谷自{率字腰}十
𧯍	谷火火冖力
𧯎	谷門月
𧯏	厂禾禾谷
𧯐	谷日罒万
𧯑	谷門日
𧯒	谷丷{曾字头无丷}日
𧯓	谷門可
𧯔	谷自甲⺃
𧯕	谷{歺头}{谷字头}目
𧯖	谷{卢字头}{皮二}一八人目
𧯗	谷{雨头}爫幺大
𧯘	谷門乛耳攵
𧯙	谷{雨头}{龠字腰}工从
𧯚	八豆
𧯛	䶹豆
𧯜	宀豆
𧯝	豆丿七
𧯞	豆斤
𧯟	夫豆
𧯠	豆句
𧯡	夕㔾豆
𧯢	氶豆
𧯣	土八豆
𧯤	豆乍
𧯥	十戈豆
𧯦	龹豆
𧯧	土{黽左角}豆
𧯨	豆多
𧯩	豆足
𧯪	豆丷弓{弟省无弓}
𧯫	癶豆丁
𧯬	豆一巛工
𧯭	{然左角}豆{左字框}十
𧯮	丰丰豆
𧯯	豆其
𧯰	豆{负字头}臼
𧯱	豆戈口一
𧯲	豆{木框}从
𧯳	宀夕㔾豆
𧯴	林豆
𧯵	豆{春字头}{举字底}
𧯶	山豆可
𧯷	艹氶豆
𧯸	{壳字头}豆殳
𧯹	音豆
𧯺	交山豆
𧯻	壴不口
𧯼	壴{周字框}土口
𧯽	丰丰凵豆
𧯾	壴{凬字心}{木无横}
𧯿	壴卑
𧰀	壴山又口
𧰁	豆一幺幺土
𧰂	豆日羽
𧰃	豆{婁字头}女
𧰄	{享字头}子山豆
𧰅	曲豆丿夫
𧰆	豆日龷十
𧰇	壴臼人
𧰈	矛夂力豆
𧰉	豆大丷日小
𧰊	壴直八
𧰋	壴䒑{聿三}{兼无䒑无彐}
𧰌	釆{祭字头}豆
𧰍	儿丱夕豆又
𧰎	豆火火冖力
𧰏	豆白冂儿口
𧰐	豆癶豆
𧰑	口丂虎豆
𧰒	壴囗戈口一
𧰓	而瓦壴
𧰔	林癶豆
𧰕	壴冫欠皿
𧰖	𠫓{荒字底}曲豆
𧰗	豆宀心皿丁
𧰘	壴覀早
𧰙	山豆幺幺戈人
𧰚	曲豆太皿
𧰛	而方瓦豆
𧰜	虍豆𡈼旦
𧰝	{壳字头}豆冫欠皿
𧰞	曲豆㦮皿
𧰟	曲豆去皿
𧰠	壴巛{巤字底}
𧰡	壴厂禾禾止
𧰢	曲豆米舛
𧰣	壴艹千黑
𧰤	豆隹又隹又
𧰥	{追字心}止彐冖巾癶豆
𧰦	乛豕
𧰧	𧰧
𧰨	{豕省}
𧰩	豕丁
𧰪	干豕
𧰫	豕{久二}丶
𧰬	一丷豕
𧰭	豕丿七
𧰮	日豕
𧰯	豕{左字框}厶
𧰰	豕尢丶
𧰱	豕刀又
𧰲	彑豕
𧰳	一{候右角}丿豕
𧰴	豕勹厶
𧰵	豕丶殳
𧰶	豕{雋字底}
𧰷	豕母
𧰸	豕皮
𧰹	豕出
𧰺	彑冖豕
𧰻	豕今丶
𧰼	{尔字头}{见二}人{豕省}
𧰽	{雋字底}豕
𧰾	𬺻今丶
𧰿	豕艹乂
𧱀	豕先
𧱁	豕冂{同字心}
𧱂	豕一旦
𧱃	{凹无横}一豕
𧱄	吅豕
𧱅	豕{大框}弓
𧱆	豕冂冂二
𧱇	豕聿
𧱈	彑八豕
𧱉	豕{左字框}火
𧱊	豕{雋字底}又
𧱋	丿田豕
𧱌	{𡋧字头}豕
𧱍	豕宀木
𧱎	豕尸毛
𧱏	辛豕
𧱐	豕耂子
𧱑	豕且力
𧱒	豕{后字框}巴
𧱓	豕龙{纵两撇}
𧱔	月豕巾
𧱕	豕彳殳
𧱖	豕一{见二}巳一
𧱗	豕目匕
𧱘	立{豕省}介
𧱙	豕妾
𧱚	豕户{青字底}
𧱛	豕耳又
𧱜	豕侖
𧱝	双双豕
𧱞	阝{左字框}工豕
𧱟	豕日比
𧱠	豕{龍字边}
𧱡	豕穴工
𧱢	豕尸今丶
𧱣	豕{凹无横}一又
𧱤	彑{豕省}{全字头}丨{全字头}丨
𧱥	豕巛田
𧱦	豕丶龙{纵两撇}
𧱧	豕丶尸毛
𧱨	豕田一{畏字底}
𧱩	豕亻更
𧱪	豕{春字头}天
𧱫	豕{左字框}工{青字底}
𧱬	豕亼{青字底}刂
𧱭	豕凶八夂
𧱮	豕月小又
𧱯	豕月巾又
𧱰	豕矛攴
𧱱	豕文厂彡
𧱲	豕气米
𧱳	立{豕省}舌
𧱴	豕冖日六
𧱵	豕唐
𧱶	弓豕豕
𧱷	豕彳䒑龰
𧱸	豕丿{眉字框}目
𧱹	豕甫寸
𧱺	豕亻大可
𧱻	豕爫見
𧱼	豕廿巾{入入}
𧱽	豕辰{青字底}
𧱾	豕豕犬
𧱿	豕广⺺{青字底}
𧲀	豕亠幺冖牛
𧲁	彑八豕{聿三}巾
𧲂	豕米舛
𧲃	豕門文
𧲄	豕爫{爲字框}灬
𧲅	豕丷{曾字头无丷}日
𧲆	豕{贵字头}貝
𧲇	{彀左角}口殳豕
𧲈	豕{左字框}工{青字底}辶
𧲉	豕辟
𧲊	{鹿字框}{与无横}灬豕
𧲋	豕虍豕
𧲌	豕{竹头}一{聿三}龰
𧲍	豕艹罒冖夕
𧲎	艹罒冖夕豕
𧲏	豕豕豕
𧲐	豕日共氺
𧲑	豕山隹{雋字底}
𧲒	豕艹一人{全字头}丨人{全字头}丨
𧲓	豕彳从从龰
𧲔	行{韋字头}口一巾豕
𧲕	豕母{婁字头}女
𧲖	豕立{青字底}{龍字边}
𧲗	豕{竹头}{左字框}工{青字底}
𧲘	豕虍豆戈
𧲙	豕{雨头}{龠字腰}
𧲚	豕山隹{𠕉字底}口
𧲛	艹{鹿字框}{与无横}灬豕
𧲜	辟象
𧲝	行{韋字头}口一巾月豕
𧲞	行{韋字头}口一巾月豕巾
𧲟	豕豕示示虫虫
𧲠	豸⺃
𧲡	豸力
𧲢	豸丿七
𧲣	豸寸
𧲤	豸牛
𧲥	豸日
𧲦	豸元
𧲧	豸巴
𧲨	豸开
𧲩	豸月
𧲪	豸亠几
𧲫	豸及
𧲬	豸口𘱌
𧲭	豸{左字框}工
𧲮	豸乍
𧲯	豸友丶
𧲰	豸{丘无横}一
𧲱	豸{见二}大
𧲲	豸瓜
𧲳	豸勹㐅⺃
𧲴	豸夂{冬字底}
𧲵	豸又土
𧲶	豸丿犬
𧲷	豸木丶
𧲸	豸占
𧲹	豸由
𧲺	豸平
𧲻	豸只
𧲼	豸包
𧲽	豸巨
𧲾	豸冂{井变}
𧲿	豸{后字框}口
𧳀	豸巛山
𧳁	豸多
𧳂	豸亻犬
𧳃	豸虫
𧳄	豸囟
𧳅	豸{同字心}𘱌
𧳆	豸冂{同字心}
𧳇	豸合
𧳈	豸臼
𧳉	豸丷开
𧳊	豸角
𧳋	豸丷弓{弟省无弓}
𧳌	豸禾儿
𧳍	豸肖
𧳎	豸五口
𧳏	豸不口
𧳐	豸乂{左字框}巾
𧳑	豸龙{纵两撇}
𧳒	豸貝
𧳓	豸丶艮
𧳔	豸一{见二}巳一
𧳕	豸来
𧳖	豸白八
𧳗	豸大巴
𧳘	豸今口
𧳙	豸{隶字框}{率字腰}
𧳚	豸亠从十
𧳛	豸妾
𧳜	豸{周字框}土口
𧳝	豸{卢字头}早
𧳞	豸隹
𧳟	豸{木框}从
𧳠	豸田丌
𧳡	豸亻{同字心}𘱌
𧳢	豸日比
𧳣	豸{凬字心}{木无横}
𧳤	豸亻多
𧳥	豸爫木
𧳦	豸巛囟
𧳧	豸比白
𧳨	豸矛木
𧳩	豸彑{豕省}
𧳪	豸田{青字底}
𧳫	豸酋
𧳬	豸{眉字框}目
𧳭	豸爫一友
𧳮	豸𡈼旦
𧳯	豸耂日丶
𧳰	豸冖車
𧳱	豸{飞无折}⺽{特殊折}丨儿
𧳲	豸{黽左角}而
𧳳	豸丰刀廾
𧳴	豸囟廾
𧳵	豸甫寸
𧳶	豸臼丨又
𧳷	豸口貝
𧳸	豸骨
𧳹	豸勹䶹勹䶹
𧳺	豸刀丶刀丶止
𧳻	豸爪虫
𧳼	豸口丷弓{弟省无弓}
𧳽	豸{留字头}田
𧳾	豸大士巴
𧳿	豸𡈼旦⺃
𧴀	豸{尔字头}{见二}人比
𧴁	豸㐫禸
𧴂	豸夂丰辶
𧴃	豸車斤
𧴄	豸广⺺{青字底}
𧴅	豸{大框}爻爻
𧴆	豸虍{虛字底}
𧴇	豸爫彐龰
𧴈	豸音儿
𧴉	豸日丷弓{弟省无弓}
𧴊	豸吕丨心
𧴋	豸覀示
𧴌	豸业{养字头}
𧴍	豸十艹貝
𧴎	豸止止止
𧴏	豸舟舟
𧴐	豸{全字头}㐫禸
𧴑	豸爫{爲字框}灬
𧴒	豸{壳字头}豆
𧴓	豸而而
𧴔	豸黑
𧴕	豸心心心
𧴖	豸止戊一{步字底}
𧴗	豸亠乡隹
𧴘	豸虍豕
𧴙	豸刀丶刀丶止止
𧴚	豸亼{曾字头无丷}日
𧴛	豸角刀牛
𧴜	豸口吅木
𧴝	豸氵廿巾{入入}
𧴞	豸日厶{青字底}匕匕
𧴟	豸艹夂丰辶
𧴠	豸厂禾禾止
𧴡	豸束{负字头}貝
𧴢	豸目目冖且
𧴣	豸吅厂乛耳攵
𧴤	貝卜
𧴥	力貝
𧴦	{化字边}貝
𧴧	貝力
𧴨	亠貝
𧴩	貝八
𧴪	{步字底}貝
𧴫	貝寸
𧴬	貝刀丶
𧴭	彡貝
𧴮	弋貝
𧴯	貝子
𧴰	貝弋
𧴱	貝女
𧴲	巛貝
𧴳	云貝
𧴴	日貝
𧴵	厶厶貝
𧴶	貝七十
𧴷	貝丅⺃丿
𧴸	貝冖儿
𧴹	龷貝
𧴺	丿幺貝
𧴻	文貝
𧴼	貝斗
𧴽	貝王
𧴾	尺貝
𧴿	木貝
𧵀	貝𠮛
𧵁	目{鳏下角}丿
𧵂	貝月
𧵃	貝手
𧵄	貝氏
𧵅	貝巴
𧵆	貝斤
𧵇	貝一幺
𧵈	貝勹厶
𧵉	貝{卧人}小
𧵊	貝甘
𧵋	貝示
𧵌	貝{见二}大
𧵍	夕㔾貝
𧵎	古貝
𧵏	夕卜貝
𧵐	貝口乛丶
𧵑	貝古
𧵒	宀丁貝
𧵓	貝刀口
𧵔	石貝
𧵕	丶{永无点}貝
𧵖	貝未
𧵗	田貝
𧵘	貝冉
𧵙	貝只
𧵚	夕又貝
𧵛	貝可
𧵜	丁巛貝
𧵝	貝戉
𧵞	口九貝
𧵟	貝瓜
𧵠	出貝
𧵡	貝册
𧵢	貝包
𧵣	貝勹日
𧵤	貝宀寸
𧵥	貝{尔字头}厂㔾
𧵦	貝光
𧵧	貝㐅{左字框}厶
𧵨	貝宀女
𧵩	{丙三}{木无横}貝
𧵪	貝戈刀
𧵫	貝丨㠯
𧵬	貝{反字框}{衣省}
𧵭	{无三}干貝
𧵮	貝凶儿
𧵯	旦⺃貝
𧵰	亻止貝
𧵱	厶厶厶貝
𧵲	歹匕貝
𧵳	貝舌
𧵴	貝宀一{于无横}
𧵵	貝米
𧵶	貝戈二
𧵷	貝{寿字头}又
𧵸	戈二貝
𧵹	一彐人貝
𧵺	貝丿未
𧵻	貝弋工
𧵼	至貝
𧵽	{见二}㐅㐅貝
𧵾	貝亠水
𧵿	宀寸貝
𧶀	厶貝云
𧶁	彐土貝
𧶂	貝戊丶
𧶃	予{卢字头}貝
𧶄	貝{尔字头}{争字底}
𧶅	貝{卧人}母
𧶆	貝文口
𧶇	貝扌斤
𧶈	貝肖
𧶉	宀元貝
𧶊	口貝云
𧶋	貝耳⺃
𧶌	十冖一八貝
𧶍	貝戈幺
𧶎	宀丅一⺃貝
𧶏	不口貝
𧶐	土从貝
𧶑	山{眉字框}貝
𧶒	口戈貝
𧶓	夭工貝
𧶔	貝口王
𧶕	貝我
𧶖	貝乂{左字框}巾
𧶗	貝今口
𧶘	大从貝
𧶙	北{负字头}貝
𧶚	十龷貝
𧶛	貝{木框}从
𧶜	{立无横}㓁貝
𧶝	{𡋲字头}貝
𧶞	貝囗禾
𧶟	貝{全字头}{舍字底}
𧶠	士四貝
𧶡	宀心丿貝
𧶢	癶弓貝
𧶣	亻弋工貝
𧶤	戈戈貝
𧶥	貝井井
𧶦	丷从人貝
𧶧	貝日日
𧶨	貝日灬
𧶩	貝龷井
𧶪	一巾{入入}貝
𧶫	貝龶{衣省}
𧶬	貝女旦
𧶭	貝大十廾
𧶮	貝囗古
𧶯	{负字头}貝共
𧶰	貝{充字头}{青字底}
𧶱	貝彳土寸
𧶲	貝山而
𧶳	貝疋{青字底}
𧶴	貝{度字框}又
𧶵	貝千臼
𧶶	罒貝{反字框}又
𧶷	正龶貝
𧶸	貝{卢字头}貝
𧶹	貝貝几
𧶺	貝{亮字头}丁
𧶻	乛匚一丨{叚右角}貝
𧶼	宀共貝
𧶽	貝旦{黎右角}丿
𧶾	貝{美字头}大
𧶿	貝其⺃
𧷀	土尺人貝
𧷁	{卢字头}冖一八人貝
𧷂	貝禾火
𧷃	貝{段字旁}殳
𧷄	車又貝
𧷅	{见二}又{贵字头}貝
𧷆	貝{旅字框}也
𧷇	⺻火貝
𧷈	臼丄貝
𧷉	貝㓁大丷
𧷊	貝千从凵
𧷋	覀女貝
𧷌	貝士示又
𧷍	米攵貝
𧷎	{卢字头}冖一貝又土
𧷏	土儿罒貝
𧷐	分十艹貝
𧷑	虫氏貝
𧷒	貝直八
𧷓	出罒貝
𧷔	亠丷丨刀{卬字旁}丶貝
𧷕	{丙三}{木无横}欠貝
𧷖	{木框}从力貝
𧷗	士囗八{见二}貝
𧷘	貝户羽
𧷙	臣殳貝
𧷚	貝谷女
𧷛	貝鬼
𧷜	貝公羽
𧷝	口欠口貝
𧷞	{立无横}㓁口貝
𧷟	分宀一{步字底}貝
𧷠	虎彡貝
𧷡	貝{婁字头}女
𧷢	貝戊臣
𧷣	貝巛果
𧷤	丨臣龶貝
𧷥	{足旁}殳貝
𧷦	貝宀心丿山
𧷧	{卢字头}冂{𥨥字底字心}又貝
𧷨	土儿冖八刀貝
𧷩	干干{贵字头}貝
𧷪	{尔字头}厂㔾{贵字头}貝
𧷫	广{美字头}八貝
𧷬	貝龹目
𧷭	丷貝{亮字头}丁
𧷮	{立无横}{𠕉字底}口貝
𧷯	口貝咅
𧷰	貝日貝
𧷱	工貝支木
𧷲	貝十戈出
𧷳	貝田糸
𧷴	亻咼貝
𧷵	出冖㐅㐅貝
𧷶	貝{美字头}古
𧷷	屮一囗八{见二}貝
𧷸	貝莫
𧷹	貝{告字头}口辶
𧷺	口貝侖
𧷻	貝龷貝
𧷼	貝火火火
𧷽	舟龹貝
𧷾	貝矛{𠕉字底}口
𧷿	貝者阝
𧸀	貝而而
𧸁	㡀攵貝
𧸂	貝乛耳攵
𧸃	貝{贵字头}貝
𧸄	貝{载字框}衣
𧸅	貝业㡀
𧸆	出示又貝
𧸇	士儿囗八{见二}貝
𧸈	心丿宀一{步字底}貝
𧸉	貝音{戈无一}
𧸊	貝廿⺃貝
𧸋	䒑臼人貝
𧸌	貝童
𧸍	貝米舛
𧸎	貝穴皿丁
𧸏	貝罒貝
𧸐	貝弋二貝
𧸑	丷{曾字头无丷}日貝
𧸒	矢豆貝
𧸓	貝氵者
𧸔	貝文一弋止
𧸕	貝业巾入入
𧸖	貝广䒑{聿三}{兼无䒑无彐}
𧸗	貝止戊一{步字底}
𧸘	貝僉
𧸙	貝丷豕辶
𧸚	貝{足旁}各
𧸛	广亻隹貝
𧸜	貝产{聿三}{兼无䒑无彐}
𧸝	士罒貝半
𧸞	出方攵貝
𧸟	出方攵貝
𧸠	文戈心丿貝
𧸡	貝{美字头}我
𧸢	貝业䒑未
𧸣	貝少日{禺字底}
𧸤	貝亼{曾字头无丷}日
𧸥	貝止八人目
𧸦	貝臣{临右角}皿
𧸧	{舆字头框}{与无横}丨八貝
𧸨	貝白穴方
𧸩	貝{卢字头}{皮二}一八人目
𧸪	貝厂里八土
𧸫	口貝{衣框}八口
𧸬	千黑貝
𧸭	貝羽隹
𧸮	貝彳山元攵
𧸯	是{贵字头}貝
𧸰	貝車一巛工
𧸱	貝厂艹日{禺字底}
𧸲	貝斤斤貝
𧸳	貝广里八土
𧸴	貝宀大丷日小
𧸵	貝貝穴工
𧸶	釒一巛工貝
𧸷	士罒貝卵
𧸸	貝{尔字头}厂比言
𧸹	宀臼勹灬貝
𧸺	貝穴身弓
𧸻	貝镸彡发
𧸼	貝广龷由八
𧸽	貝{贵字头}貝辶
𧸾	虎一弋止貝
𧸿	貝宀臼勹灬
𧹀	貝艹肀{淵字边无一}一
𧹁	一弋止虎貝
𧹂	虎虎貝
𧹃	工貝夂工貝
𧹄	立早仑一貝
𧹅	土土土兀分貝
𧹆	宀示宀示貝
𧹇	貝臼囗乂禸
𧹈	貝貝貝大
𧹉	立早人{㒫字头}貝
𧹊	貝亼{龠字腰}{扁字心}
𧹋	亻弋貝爫{爲字框}灬
𧹌	{壳字头}豆冫欠貝
𧹍	光先先貝
𧹎	貝士儿囗八{见二}貝
𧹏	貝先先貝
𧹐	貝罒幺{横三点}隹
𧹑	贝丶{为字框}丶
𧹒	罒贝
𧹓	贝口王
𧹔	贝長
𧹕	贝居
𧹖	贝{典字头带横}八
𧹗	贝吕丨心
𧹘	井八
𧹙	土{亦字底}丁
𧹚	丁土{亦字底}
𧹛	土{亦字底}支
𧹜	土{亦字底}及
𧹝	土{亦字底}夂{冬字底}
𧹞	土{亦字底}皮
𧹟	土{亦字底}宀匕
𧹠	土{亦字底}{叚字旁无二}又丶
𧹡	土{亦字底}百
𧹢	土{亦字底}囗大
𧹣	土{亦字底}今口
𧹤	土{亦字底}足
𧹥	土{亦字底}木土
𧹦	土{亦字底}見
𧹧	土{亦字底}尸{率字腰}⺃
𧹨	龷日土{亦字底}
𧹩	土{亦字底}{凬字心}{木无横}
𧹪	土{亦字底}侖
𧹫	林土{亦字底}
𧹬	土{亦字底}覀土
𧹭	土{亦字底}{同字心}田
𧹮	土{亦字底}{段字旁}殳
𧹯	土{亦字底}束丷
𧹰	土{亦字底}禾日
𧹱	土{亦字底}其⺃
𧹲	{壳字头}一土{亦字底}殳
𧹳	龺入土{亦字底}
𧹴	土{亦字底}亠幺田
𧹵	土{亦字底}气米
𧹶	土{亦字底}田糸
𧹷	士{眉字框}殳土{亦字底}
𧹸	土{亦字底}而而
𧹹	土{亦字底}音{戈无一}
𧹺	土{亦字底}毛毛毛
𧹻	土{亦字底}土者
𧹼	土{亦字底}者阝
𧹽	土{亦字底}日幺幺灬
𧹾	匕矢龴疋土{亦字底}
𧹿	土{亦字底}亻旡旡日
𧺀	土{亦字底}宀釆田
𧺁	宀釆田土{亦字底}
𧺂	者見土{亦字底}
𧺃	土{亦字底}者見
𧺄	火土{亦字底}癶豆
𧺅	{畫字头}日覀土{亦字底}
𧺆	夭龰
𧺇	走⺃
𧺈	走刂
𧺉	走又
𧺊	走匕
𧺋	走几
𧺌	走入
𧺍	走八
𧺎	走九
𧺏	走也
𧺐	走𠄏一
𧺑	走士
𧺒	走下
𧺓	走{久二}丶
𧺔	走土
𧺕	走勹丶
𧺖	走了一
𧺗	走一{可字框}
𧺘	走寸
𧺙	走子
𧺚	走口
𧺛	走千
𧺜	走女
𧺝	走日
𧺞	走气
𧺟	走冖儿
𧺠	走止
𧺡	走{丙三}丨
𧺢	走殳
𧺣	走从
𧺤	走勹九
𧺥	走予
𧺦	走一幺
𧺧	走廿
𧺨	走心
𧺩	走火
𧺪	走丅一⺃
𧺫	走尺
𧺬	走{身字框}入
𧺭	走公
𧺮	走分
𧺯	走斗
𧺰	走歹
𧺱	走戈
𧺲	走比
𧺳	走一彑
𧺴	走{卧人}十
𧺵	走水
𧺶	走木丶
𧺷	走去
𧺸	走冂口
𧺹	走巨
𧺺	走友丶
𧺻	走亠幺
𧺼	走此
𧺽	走㠯
𧺾	走半
𧺿	走廿⺃
𧻀	走厂干
𧻁	走{丘无横}一
𧻂	夭止戉
𧻃	走目
𧻄	走主
𧻅	力口走
𧻆	走九彡
𧻇	走未
𧻈	走平
𧻉	走由
𧻊	走生
𧻋	走今丶
𧻌	走勹夕
𧻍	走只
𧻎	走民
𧻏	走夕卜
𧻐	走丶又寸
𧻑	走{大框}弓
𧻒	走力力力
𧻓	走丷开
𧻔	走匚王
𧻕	走{丙三}{木无横}
𧻖	走舟
𧻗	走戊一
𧻘	走丰刀
𧻙	走百
𧻚	走一旦
𧻛	走勹日
𧻜	走{尔字头}厂㔾
𧻝	走{卧人}支
𧻞	走乃木
𧻟	走氵一{可字框}
𧻠	走艮
𧻡	走尸土
𧻢	走囗口
𧻣	走肉
𧻤	走{全字头}王
𧻥	走行
𧻦	走{尔字头}水
𧻧	走广干
𧻨	走交
𧻩	走老
𧻪	走戈{左字框}
𧻫	走彐彐
𧻬	夭龰多
𧻭	走{曳无丿}丿
𧻮	走{向字框}夊
𧻯	走氵夬
𧻰	走{告字头}口
𧻱	走求
𧻲	走里
𧻳	走不口
𧻴	走丶艮
𧻵	走大从
𧻶	走乂{左字框}巾
𧻷	走甫
𧻸	走扌斤
𧻹	走甬
𧻺	走犭王
𧻻	足走
𧻼	走日土
𧻽	走丿虫
𧻾	走且八
𧻿	走豆
𧼀	走貝
𧼁	走文口
𧼂	走走
𧼃	走犭火
𧼄	走亻乍
𧼅	走身
𧼆	走丿糸
𧼇	走{尔字头}氺
𧼈	走耳⺃
𧼉	走一{见二}巳一
𧼊	走見
𧼋	走豸
𧼌	豸走
𧼍	走彐火
𧼎	走大电
𧼏	走弓亠幺
𧼐	走囗禾
𧼑	走戈口一
𧼒	走臣又
𧼓	走{凬字心}{木无横}
𧼔	走土八夂
𧼕	走{丙三}{木无横}刂
𧼖	林走
𧼗	走山弗
𧼘	走大可
𧼙	走豕丶
𧼚	走龹㔾
𧼛	走{木框}从
𧼜	走尸八夕
𧼝	走止{步字底}
𧼞	走厂䒑䶹
𧼟	走阝百
𧼠	走卑
𧼡	走乂{左字框}{青字底}
𧼢	走{尔字头}一氺
𧼣	走白巾
𧼤	走至刂
𧼥	走虍人
𧼦	走丷开力
𧼧	䒑龰兔
𧼨	走曷
𧼩	走𡈼旦
𧼪	走丰刀大
𧼫	走田{青字底}
𧼬	走凶八夂
𧼭	走穴人又
𧼮	走旦{黎右角}丿
𧼯	走亼{青字底}刂
𧼰	走千臼
𧼱	走{卧人}日夂
𧼲	走尸丷开
𧼳	走广䒑䶹
𧼴	走山而
𧼵	走{尔字头}厂矢
𧼶	走千从凵
𧼷	走白水
𧼸	走面
𧼹	走日刀口
𧼺	走日立
𧼻	走吅土
𧼼	走艹{左字框}口
