ms	丶
hi	衣 衣省 旅下角 衣框 畏字底 衣省变
qy	夕
qj	彐 聿三 录字头 𬺹
ht	二
he	来
nq	礻 衤
ji	舌 舍字底
wf	隹
nt	正
ra	石
cp	糸 幺 糹
wm	马 马二
hw	片 丬 北字旁 鼎字框 爿 淵字边无一 乍字底
tk	廴
xc	各
tm	本
na	负字头 尔字头 久二 㞮字底
nl	京
mv	果
px	更
al	钅
zc	米 鬯字头无凵 𠂭 𧒫字边字腰 𲌥字底字旁字头
uo	乍
xu	相
rc	䒑 共字底 𢂇字头
wl	弋 弋二
jx	占
hl	止 步字底 龰 延字心无撇
er	雨 雨头
dz	弓 𢎜
yd	直
zk	尸 眉字框 倉字腰 叚字旁无二 門字旁 民字框 飮下角 門字边
hk	虫 贵字头 𬻬字底 𠀐
pg	卜 卢字头
au	主
tk	下 𣃟字头
th	示 ⺬ 𱍐
mw	关
nx	士
sa	尚 尚头 龸
ai	万 成三
by	豕 乑 豕省 豸 𬺻 𬆫字旁字底 𧰧 𬺷
ok	言
ef	行
fu	壬 𡈼
bk	水 氺 益字头 永无点 犀字心头 鳏下角 乑无丿
rl	元
hr	音 𫭏字心
jw	出
sl	巴
ej	业
ci	高 享字头 亮字头 高头 𠅘字头字头 𠅘字头
jg	玉
ob	古
me	祭 然左角 夜下角 癶 祭字头 癶变
dj	分
wa	交
us	走
ae	先
af	亼 亽
kq	内
qb	戉 戊 臧字框
ud	户
ro	那字旁
lr	只
rh	载字框 耂
hb	足 足旁
wh	疒
cc	后字框
sh	母
dd	四 罒 而字底
li	共
bi	丂 与无横 耉字框无耂
ot	定
xm	夫
sd	发
ak	天
gh	㐄 年字底 叏字头 韋字头 𫝀 𠎖字边字头字边
cy	井 井变
xd	甬
yz	皿
hu	⺃
uv	㠯 追字心 𮍌 目变
lq	比 比旁
zs	皮 皮二
ww	亠
ju	戶 戸 戼字边
md	凵 丩 亥无亠无人 𠙴 𠂈
jr	化
vk	及
yx	非
nd	之
sf	夬
xm	匚 乐二 卬字旁 匸 牙二 年字底无竖 𠥓
zp	娄
sf	面
vp	亥
xj	廿 龷 寒字腰 舞字头无卧人
gd	今
dn	向字框 丙三 爲字框
nr	歹 歺 歺头
mr	专
lc	从 入入 仌
fq	首
na	丁 可字框
sj	七 东二 躖字边框 㡭左 七旁
ov	包
kg	穴
vu	求
kv	由
ie	介
bn	山 山一
zx	长
ch	爪 爫 乊 埓上角 𫜵 𱬴
zf	电 龟字底 曳无丿 𠄲字底
ia	咅
dk	亲
fa	身 㐆
jc	两
we	与
ru	才
wh	公
te	册 扁字心 冊 𠕁 𧧚字边
dl	居
ri	无
ez	旅字框
wd	产
oi	支
xb	爱字头 𡋧字头
nw	句
am	友
ih	平
de	原
gl	壳字头 卖字头 索字头 囊字头 彀左角 𠁕字头 𣪊字旁
vm	少
ti	戋
ew	巳
pv	川 横三点 荒字底 巛 巜 三竖 巜巜 四竖 𰀋字心
ad	斗
qf	早
is	五
wv	另
la	谷 谷字头
fd	酉
an	予
iq	爻 网字心
gu	束
uk	景
ie	㓁 𠕉字底 奐字腰 𡕫字头字底 𠨈字腰之一
xp	妾
et	未
tk	禸 禺字底
al	太
hs	修字旁 𣼝字中
ox	氏
lm	亡
lh	入
qk	莫
lu	金 丧字头 釒 金字底
va	亦 变字头
eg	兔 免字底 兎字底无丶
ps	三
em	员
rg	舟
ha	区
rm	仑
